id,name,federal_district_id
1,Забайкальский край,5
2,Северная Осетия,3
3,Тамбовская область,6
4,Курганская область,1
5,Новосибирская область,5
6,Мордовия,7
7,Адыгея,8
8,Камчатский край,4
9,Карачаево-Черкесия,3
10,Мурманская область,2
11,Санкт-Петербург,2
12,Кемеровская область,5
13,Астраханская область,8
14,Калининградская область,2
15,Хабаровский край,4
16,Смоленская область,6
17,Саратовская область,7
18,Орловская область,6
19,Ленинградская область,2
20,Красноярский край,5
21,Якутия,4
22,Татарстан,7
23,Ненецкий АО,2
24,Краснодарский край,8
25,Архангельская область,2
26,Калужская область,6
27,Костромская область,6
28,Ханты-Мансийский АО — Югра,1
29,Свердловская область,1
30,Алтай,5
31,Вологодская область,2
32,Магаданская область,4
33,Ростовская область,8
34,Еврейская АО,4
35,Белгородская область,6
36,Тыва,5
37,Коми,2
38,Кабардино-Балкария,3
39,Чечня,3
40,Тульская область,6
41,Кировская область,7
42,Ивановская область,6
43,Чувашия,7
44,Крым,8
45,Москва,6
46,Владимирская область,6
47,Омская область,5
48,Чукотский АО,4
49,Пермский край,7
50,Волгоградская область,8
51,Дагестан,3
52,Ингушетия,3
53,Челябинская область,1
54,Курская область,6
55,Оренбургская область,7
56,Калмыкия,8
57,Ульяновская область,7
58,Марий Эл,7
59,Пензенская область,7
60,Ярославская область,6
61,Ханты-Мансийский АО,1
62,Алтайский край,5
63,Севастополь,8
64,Хакасия,5
65,Воронежская область,6
66,Томская область,5
67,Амурская область,4
68,Бурятия,5
69,Тюменская область,1
70,Приморский край,4
71,Нижегородская область,7
72,Ставропольский край,3
73,Московская область,6
74,Рязанская область,6
75,Иркутская область,5
76,Сахалинская область,4
77,Новгородская область,2
78,Самарская область,7
79,Псковская область,2
80,Карелия,2
81,Удмуртия,7
82,Ямало-Ненецкий АО,1
83,Тверская область,6
84,Брянская область,6
85,Липецкая область,6
86,Башкортостан,7
